STATE,GE14_PARLIAMENTARY_CODE,GE14_PARLIAMENTARY_NAME,GE14_TOTAL_ELECTORS,GE14_TOTAL_TURNOUT,GE14_NORMAL_VOTERS_PERCENT,GE14_MILITARY_VOTERS_PERCENT,GE14_POLICE_VOTERS_PERCENT,GE14_ABSENT_VOTERS_PERCENT,GE14_POSTAL_VOTER_SHARE_PERCENT,GE15_PARLIAMENTARY_CODE,GE15_PARLIAMENTARY_NAME,GE15_TOTAL_ELECTORS,GE15_TOTAL_TURNOUT,GE15_NORMAL_VOTERS_PERCENT,GE15_MILITARY_VOTERS_PERCENT,GE15_POLICE_VOTERS_PERCENT,GE15_ABSENT_VOTERS_PERCENT,GE15_POSTAL_VOTER_SHARE,NUMERICAL_GROWTH_OF_POSTAL_VOTERS_SINCE_GE14
SELANGOR,P.109,KAPAR,124983,107829,99.67,0.00,0.32,0.02,1.31,P.109,KAPAR,189369,159700,99.73,0.00,0.26,0.01,1.58,1113
SELANGOR,P.110,KLANG,149348,128536,99.11,0.24,0.62,0.03,0.63,P.110,KLANG,208913,165554,99.38,0.15,0.46,0.02,1.17,1131
SELANGOR,P.111,KOTA RAJA,149021,129412,99.94,0.00,0.02,0.04,0.94,P.111,KOTA RAJA,244712,199878,99.96,0.00,0.02,0.02,1.70,2182
SELANGOR,P.112,KUALA LANGAT,102406,89437,98.85,0.77,0.36,0.01,1.62,P.112,KUALA LANGAT,148637,125449,99.26,0.48,0.25,0.01,1.88,911
SELANGOR,P.113,SEPANG,104508,92087,98.47,0.00,1.48,0.05,1.13,P.113,SEPANG,168039,139667,98.87,0.00,1.10,0.03,1.73,1375
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.114,KEPONG,72696,61812,99.58,0.00,0.39,0.03,0.34,P.114,KEPONG,94285,72657,99.69,0.00,0.30,0.01,0.58,209
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.115,BATU,76328,63600,95.22,3.69,1.06,0.03,1.12,P.115,BATU,113863,87841,97.37,1.95,0.67,0.02,1.86,925
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.116,WANGSA MAJU,88482,74509,95.88,3.48,0.59,0.05,1.66,P.116,WANGSA MAJU,120323,93493,97.65,2.04,0.28,0.03,2.00,636
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.117,SEGAMBUT,77956,65265,99.87,0.00,0.03,0.11,0.93,P.117,SEGAMBUT,119652,86274,99.74,0.00,0.21,0.05,2.23,1315
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.118,SETIAWANGSA,72136,61884,75.82,19.78,4.33,0.07,5.15,P.118,SETIAWANGSA,95753,75725,87.31,9.78,2.87,0.04,4.72,387
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.119,TITIWANGSA,61598,50858,95.57,3.59,0.78,0.06,1.50,P.119,TITIWANGSA,80747,61450,97.37,2.24,0.37,0.02,1.86,381
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.120,BUKIT BINTANG,69526,52765,94.56,2.49,2.92,0.03,0.65,P.120,BUKIT BINTANG,79782,53247,96.74,0.00,3.25,0.01,0.99,182
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.121,LEMBAH PANTAI,80346,67059,87.22,0.06,12.68,0.04,2.70,P.121,LEMBAH PANTAI,101828,77469,90.38,0.05,9.55,0.02,3.70,1054
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.122,SEPUTEH,86256,70583,99.85,0.00,0.09,0.06,0.60,P.122,SEPUTEH,124805,88107,99.65,0.00,0.32,0.02,1.45,854
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.123,CHERAS,78819,64074,99.39,0.00,0.58,0.03,0.50,P.123,CHERAS,101184,72207,98.86,0.00,1.13,0.01,1.11,486
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.124,BANDAR TUN RAZAK,83650,71180,93.41,6.28,0.27,0.04,1.92,P.124,BANDAR TUN RAZAK,119185,93845,95.78,4.04,0.17,0.02,2.58,1057
WILAYAH PERSEKUTUAN PUTRAJAYA,P.125,PUTRAJAYA,27306,24881,96.71,0.00,3.02,0.27,2.54,P.125,PUTRAJAYA,42881,36969,96.61,1.49,1.74,0.16,2.90,439
NEGERI SEMBILAN,P.126,JELEBU,48522,39733,96.45,0.00,3.54,0.01,3.02,P.126,JELEBU,59561,46008,98.75,0.00,1.24,0.01,2.71,46
NEGERI SEMBILAN,P.127,JEMPOL,72122,58523,99.41,0.00,0.58,0.01,2.13,P.127,JEMPOL,95813,72808,99.59,0.00,0.41,0.00,2.39,498
NEGERI SEMBILAN,P.128,SEREMBAN,110168,93254,97.90,0.50,1.55,0.05,1.75,P.128,SEREMBAN,157244,124729,98.97,0.02,0.98,0.03,2.11,1000
NEGERI SEMBILAN,P.129,KUALA PILAH,49801,41156,99.27,0.00,0.71,0.02,2.54,P.129,KUALA PILAH,63247,49280,99.41,0.00,0.57,0.02,3.10,481
NEGERI SEMBILAN,P.130,RASAH,102838,86655,97.47,1.87,0.61,0.04,1.53,P.130,RASAH,155896,120928,98.48,1.04,0.46,0.02,1.75,789
NEGERI SEMBILAN,P.131,REMBAU,88365,75315,98.65,0.77,0.53,0.05,2.38,P.131,REMBAU,133555,110586,98.32,1.28,0.38,0.02,2.58,1066
NEGERI SEMBILAN,P.132,PORT DICKSON,75212,62548,90.55,8.58,0.85,0.02,1.65,P.132,PORT DICKSON,104450,81436,92.92,6.57,0.50,0.01,3.99,2211
NEGERI SEMBILAN,P.133,TAMPIN,60765,49515,91.04,8.30,0.65,0.01,2.49,P.133,TAMPIN,81099,61960,93.56,5.95,0.48,0.00,3.37,856
MELAKA,P.134,MASJID TANAH,51441,43093,99.24,0.56,0.18,0.02,2.35,P.134,MASJID TANAH,69174,55270,99.52,0.34,0.13,0.01,,
MELAKA,P.135,ALOR GAJAH,70364,59000,99.16,0.00,0.83,0.01,1.90,P.135,ALOR GAJAH,93311,73900,99.40,0.02,0.57,0.00,1.97,330
MELAKA,P.136,TANGGA BATU,83213,70453,85.87,14.02,0.08,0.03,3.81,P.136,TANGGA BATU,115998,93016,91.69,8.25,0.04,0.01,4.03,1066
MELAKA,P.137,HANG TUAH JAYA,89364,77758,98.57,0.34,1.07,0.02,2.37,P.137,HANG TUAH JAYA,118493,95592,98.97,0.23,0.79,0.01,2.34,400
MELAKA,P.138,KOTA MELAKA,126848,107085,99.34,0.00,0.63,0.03,1.56,P.138,KOTA MELAKA,164140,124816,99.57,0.00,0.41,0.02,1.90,700
MELAKA,P.139,JASIN,73432,62912,99.43,0.00,0.56,0.01,2.41,P.139,JASIN,96208,78329,99.76,0.00,0.24,0.01,2.22,223
JOHOR,P.140,SEGAMAT,55350,46170,97.46,0.30,2.22,0.02,2.01,P.140,SEGAMAT,69360,51395,98.71,0.44,0.84,0.01,,
JOHOR,P.141,SEKIJANG,45596,38527,99.96,0.00,0.02,0.02,1.91,P.141,SEKIJANG,63981,48854,100.00,0.00,0.00,0.00,2.96,708
JOHOR,P.142,LABIS,40356,33146,99.82,0.00,0.16,0.02,1.60,P.142,LABIS,49846,35271,99.91,0.00,0.08,0.01,2.59,384
JOHOR,P.143,PAGOH,51512,43667,99.79,0.00,0.20,0.01,1.94,P.143,PAGOH,69939,54933,99.85,0.00,0.15,0.00,2.45,502
JOHOR,P.144,LEDANG,77474,66708,99.46,0.00,0.51,0.03,2.19,P.144,LEDANG,104577,81326,99.65,0.00,0.34,0.01,2.62,665
JOHOR,P.145,BAKRI,73883,62632,98.36,0.00,1.61,0.02,1.96,P.145,BAKRI,97335,74121,99.05,0.00,0.94,0.01,2.52,637
JOHOR,P.146,MUAR,50843,42868,98.71,0.00,1.26,0.03,2.47,P.146,MUAR,68925,53695,99.17,0.00,0.82,0.01,2.95,525
JOHOR,P.147,PARIT SULONG,59609,50778,99.92,0.00,0.07,0.01,2.11,P.147,PARIT SULONG,79484,63697,99.94,0.00,0.05,0.01,2.55,553
JOHOR,P.148,AYER HITAM,46157,39474,99.83,0.00,0.16,0.02,1.62,P.148,AYER HITAM,61041,47172,99.91,0.00,0.08,0.01,2.04,323
JOHOR,P.149,SRI GADING,52119,45193,99.78,0.13,0.07,0.02,1.89,P.149,SRI GADING,78602,62098,99.86,0.07,0.05,0.02,2.38,623
JOHOR,P.150,BATU PAHAT,98543,83574,98.67,0.71,0.58,0.04,1.75,P.150,BATU PAHAT,133910,100679,99.14,0.50,0.33,0.02,2.61,1164
JOHOR,P.151,SIMPANG RENGGAM,43998,36695,97.91,0.00,2.07,0.02,2.44,P.151,SIMPANG RENGGAM,59033,44801,98.78,0.00,1.22,0.01,2.73,328
JOHOR,P.152,KLUANG,96915,81841,93.53,5.95,0.48,0.04,3.24,P.152,KLUANG,132342,97162,95.86,3.80,0.31,0.02,3.92,1154
JOHOR,P.153,SEMBRONG,44137,36768,99.88,0.00,0.12,0.01,1.91,P.153,SEMBRONG,54982,41449,99.91,0.00,0.08,0.01,2.31,256
JOHOR,P.154,MERSING,48176,38306,95.22,4.08,0.68,0.02,2.97,P.154,MERSING,66275,47469,97.46,2.09,0.45,0.01,3.32,440
JOHOR,P.155,TENGGARA,44749,37818,95.72,4.08,0.18,0.02,2.42,P.155,TENGGARA,67294,51997,96.97,2.88,0.14,0.01,3.03,659
JOHOR,P.156,KOTA TINGGI,46677,39418,99.24,0.00,0.75,0.00,1.59,P.156,KOTA TINGGI,61291,47753,99.35,0.00,0.65,0.00,1.89,275
JOHOR,P.157,PENGERANG,40479,33580,97.32,2.49,0.17,0.01,2.18,P.157,PENGERANG,55316,42288,98.66,1.03,0.31,0.00,2.89,491
JOHOR,P.158,TEBRAU,123033,105420,99.81,0.00,0.18,0.02,0.88,P.158,TEBRAU,223301,169414,99.87,0.00,0.12,0.01,1.32,1314
JOHOR,P.159,PASIR GUDANG,124172,106576,98.25,1.03,0.70,0.03,0.98,P.159,PASIR GUDANG,198485,150876,98.96,0.57,0.45,0.01,1.50,1225
JOHOR,P.160,JOHOR BAHRU,101409,81645,98.36,0.08,1.52,0.05,1.75,P.160,JOHOR BAHRU,136368,95521,98.52,0.00,1.46,0.02,1.99,474
JOHOR,P.161,PULAI,106268,88116,98.29,0.00,1.67,0.04,1.42,P.161,PULAI,165313,118414,99.30,0.00,0.68,0.02,1.71,768
JOHOR,P.162,ISKANDAR PUTERI,138299,118779,99.31,0.00,0.67,0.02,0.99,P.162,ISKANDAR PUTERI,222437,165527,99.58,0.00,0.41,0.01,1.65,1551
JOHOR,P.163,KULAI,99147,85687,99.23,0.06,0.69,0.02,0.91,P.163,KULAI,151247,116339,99.51,0.03,0.45,0.01,1.58,1052
JOHOR,P.164,PONTIAN,55570,46683,99.80,0.00,0.18,0.02,2.28,P.164,PONTIAN,75212,57647,99.89,0.00,0.11,0.01,2.82,560
JOHOR,P.165,TANJUNG PIAI,53528,45858,99.36,0.00,0.62,0.01,1.55,P.165,TANJUNG PIAI,70679,55106,99.56,0.00,0.43,0.01,2.07,426
WILAYAH PERSEKUTUAN LABUAN,P.166,LABUAN,28356,21729,91.85,7.01,1.13,0.02,2.32,P.166,LABUAN,44484,28762,96.74,2.40,0.84,0.01,2.16,117
SABAH,P.167,KUDAT,52251,38205,98.93,0.00,1.07,0.00,2.32,P.167,KUDAT,75724,46056,99.32,0.00,0.68,0.00,2.79,396
SABAH,P.168,KOTA MARUDU,47007,35231,99.61,0.00,0.39,0.00,1.71,P.168,KOTA MARUDU,80735,50828,99.78,0.00,0.22,0.00,2.64,736
SABAH,P.169,KOTA BELUD,57919,47565,99.38,0.32,0.30,0.00,2.26,P.169,KOTA BELUD,79885,55272,99.39,0.40,0.21,0.00,2.55,338
SABAH,P.170,TUARAN,54400,44834,99.64,0.00,0.35,0.00,1.90,P.170,TUARAN,83419,59122,99.77,0.00,0.23,0.00,,
SABAH,P.171,SEPANGGAR,62415,49012,95.16,4.82,0.01,0.02,1.33,P.171,SEPANGGAR,108370,71663,97.98,2.01,0.01,0.01,1.83,655
SABAH,P.172,KOTA KINABALU,56220,42973,97.29,0.49,2.20,0.02,0.66,P.172,KOTA KINABALU,74059,44663,99.52,0.25,0.22,0.02,1.56,415
SABAH,P.173,PUTATAN,41312,31865,90.87,9.03,0.09,0.01,2.17,P.173,PUTATAN,63173,42221,95.23,4.72,0.05,0.01,,
SABAH,P.174,PENAMPANG,53131,43659,96.17,0.12,3.69,0.01,1.89,P.174,PENAMPANG,77214,51301,96.61,0.03,3.35,0.01,1.85,121
SABAH,P.175,PAPAR,43586,36540,97.93,0.00,2.06,0.01,3.04,P.175,PAPAR,59942,44295,98.62,0.00,1.38,0.01,3.27,337
SABAH,P.176,KIMANIS,29618,25519,99.96,0.00,0.03,0.01,2.02,P.176,KIMANIS,40763,31491,99.95,0.00,0.05,0.00,2.08,139
SABAH,P.177,BEAUFORT,33342,28154,99.40,0.00,0.60,0.00,2.19,P.177,BEAUFORT,43248,29924,99.51,0.00,0.48,0.00,2.25,56
SABAH,P.178,SIPITANG,31882,25483,99.55,0.00,0.45,0.00,1.40,P.178,SIPITANG,45871,29816,99.68,0.00,0.32,0.00,2.86,495
SABAH,P.179,RANAU,43706,33904,99.60,0.00,0.40,0.00,2.32,P.179,RANAU,66517,42811,99.72,0.00,0.28,0.00,2.56,309
SABAH,P.180,KENINGAU,51177,40913,99.44,0.00,0.56,0.01,2.06,P.180,KENINGAU,87588,55542,99.69,0.00,0.31,0.00,2.21,384
SABAH,P.181,TENOM,29182,23027,99.44,0.00,0.55,0.01,1.55,P.181,TENOM,42045,29078,99.66,0.00,0.33,0.00,,
SABAH,P.182,PENSIANGAN,31377,24955,99.97,0.00,0.03,0.00,0.81,P.182,PENSIANGAN,55672,37584,99.98,0.00,0.02,0.00,1.50,360
SABAH,P.183,BELURAN,28509,21606,99.46,0.00,0.54,0.00,1.19,P.183,BELURAN,44727,29951,99.60,0.00,0.40,0.00,1.66,239
SABAH,P.184,LIBARAN,47914,37248,97.40,1.37,1.23,0.01,2.87,P.184,LIBARAN,72332,45632,97.32,0.78,1.89,0.00,4.91,1170
SABAH,P.185,BATU SAPI,32574,24029,93.25,3.01,3.74,0.00,3.45,P.185,BATU SAPI,43916,27608,98.24,1.11,0.65,0.00,3.11,29
SABAH,P.186,SANDAKAN,39777,28668,99.29,0.00,0.70,0.01,1.97,P.186,SANDAKAN,55542,31533,99.32,0.00,0.67,0.01,,
SABAH,P.187,KINABATANGAN,28730,22257,99.37,0.00,0.63,0.00,2.10,P.187,KINABATANGAN,44773,29882,99.52,0.00,0.48,0.00,1.95,115
SABAH,P.188,SILAM,60942,44294,96.98,0.60,2.41,0.00,2.13,P.188,LAHAD DATU,100256,59167,98.23,0.41,1.36,0.00,2.60,593
SABAH,P.189,SEMPORNA,48248,34613,97.82,0.84,1.34,0.00,2.32,P.189,SEMPORNA,72169,39978,98.70,0.36,0.94,0.00,2.87,346
SABAH,P.190,TAWAU,59919,43861,98.61,0.23,1.15,0.01,1.85,P.190,TAWAU,87477,51616,98.65,0.53,0.81,0.01,2.47,466
SABAH,P.191,KALABAKAN,52199,38041,94.36,4.58,1.06,0.01,4.16,P.191,KALABAKAN,83970,50791,96.73,2.67,0.60,0.01,4.86,884
SARAWAK,P.192,MAS GADING,29617,22822,98.86,0.59,0.54,0.00,1.70,P.192,MAS GADING,47171,31892,98.62,1.06,0.32,0.00,2.46,395
SARAWAK,P.193,SANTUBONG,45628,33868,99.59,0.12,0.28,0.01,1.93,P.193,SANTUBONG,79540,52713,99.79,0.06,0.15,0.00,2.15,480
SARAWAK,P.194,PETRA JAYA,57925,43513,98.40,0.00,1.57,0.04,2.74,P.194,PETRA JAYA,109809,70074,99.15,0.00,0.84,0.02,2.85,805
SARAWAK,P.195,BANDAR KUCHING,81856,61483,98.52,0.13,1.32,0.02,0.80,P.195,BANDAR KUCHING,109710,64068,98.94,0.03,1.01,0.01,1.41,412
SARAWAK,P.196,STAMPIN,66240,52550,93.48,4.39,2.09,0.03,2.02,P.196,STAMPIN,121009,74547,97.09,1.94,0.95,0.02,2.57,859
SARAWAK,P.197,KOTA SAMARAHAN,46300,36551,86.89,12.59,0.51,0.01,2.10,P.197,KOTA SAMARAHAN,82229,56238,93.81,5.91,0.27,0.00,3.13,995
SARAWAK,P.198,PUNCAK BORNEO,46180,35142,97.69,0.00,2.30,0.00,1.60,P.198,PUNCAK BORNEO,79969,52049,98.98,0.00,1.02,0.00,2.10,529
SARAWAK,P.199,SERIAN,37629,27880,99.50,0.00,0.50,0.00,1.83,P.199,SERIAN,65273,40620,99.76,0.00,0.24,0.00,1.96,287
SARAWAK,P.200,BATANG SADONG,23213,17349,99.55,0.00,0.44,0.00,1.39,P.200,BATANG SADONG,32640,22924,99.68,0.00,0.32,0.00,2.16,254
SARAWAK,P.201,BATANG LUPAR,29811,20603,99.97,0.00,0.02,0.01,1.23,P.201,BATANG LUPAR,43072,28118,99.95,0.00,0.04,0.01,1.61,199
SARAWAK,P.202,SRI AMAN,33016,23379,96.23,2.64,1.13,0.00,3.49,P.202,SRI AMAN,50164,32449,98.24,1.02,0.74,0.00,3.10,191
SARAWAK,P.203,LUBOK ANTU,20801,14785,99.71,0.00,0.29,0.00,1.09,P.203,LUBOK ANTU,28995,19537,99.68,0.00,0.31,0.00,,
SARAWAK,P.204,BETONG,29145,21165,99.56,0.00,0.44,0.00,1.87,P.204,BETONG,41743,27239,99.69,0.00,0.31,0.00,2.13,185
SARAWAK,P.205,SARATOK,30517,23084,99.57,0.00,0.43,0.00,1.52,P.205,SARATOK,44531,31293,99.73,0.00,0.27,0.00,2.53,439
SARAWAK,P.206,TANJONG MANIS,21899,14425,99.98,0.00,0.02,0.00,2.38,P.206,TANJONG MANIS,32948,19395,99.98,0.00,0.02,0.00,3.73,380
SARAWAK,P.207,IGAN,19592,12996,99.55,0.00,0.45,0.01,3.00,P.207,IGAN,28290,17286,99.73,0.00,0.27,0.00,3.09,144
SARAWAK,P.208,SARIKEI,39561,30895,99.06,0.00,0.94,0.00,1.21,P.208,SARIKEI,55018,37025,99.40,0.00,0.60,0.00,2.23,449
SARAWAK,P.209,JULAU,25380,18569,99.78,0.00,0.22,0.00,1.21,P.209,JULAU,34850,22927,99.81,0.00,0.19,0.00,2.06,248
SARAWAK,P.210,KANOWIT,21022,15149,99.65,0.00,0.34,0.00,2.05,P.210,KANOWIT,30988,18410,99.73,0.00,0.27,0.00,2.84,211
SARAWAK,P.211,LANANG,61973,46419,97.98,0.79,1.23,0.01,1.99,P.211,LANANG,87356,53972,98.02,1.16,0.82,0.00,3.61,1022
SARAWAK,P.212,SIBU,74149,57689,95.67,3.48,0.83,0.01,2.81,P.212,SIBU,105875,67409,97.82,1.66,0.51,0.01,3.90,1012
SARAWAK,P.213,MUKAH,30608,21205,99.33,0.00,0.66,0.00,2.21,P.213,MUKAH,46964,28167,99.57,0.00,0.43,0.00,2.18,144
SARAWAK,P.214,SELANGAU,30026,22352,99.75,0.00,0.25,0.00,1.11,P.214,SELANGAU,45743,29280,99.81,0.00,0.19,0.00,1.30,133
SARAWAK,P.215,KAPIT,30658,18485,99.49,0.00,0.51,0.00,3.00,P.215,KAPIT,45210,22545,99.59,0.00,0.40,0.00,4.17,386
SARAWAK,P.216,HULU RAJANG,27520,17727,99.76,0.00,0.24,0.00,1.39,P.216,HULU RAJANG,43438,23807,99.82,0.00,0.18,0.00,2.30,301
SARAWAK,P.217,BINTULU,65049,48036,99.15,0.29,0.56,0.00,1.18,P.217,BINTULU,113599,71256,99.25,0.41,0.34,0.00,1.23,308
SARAWAK,P.218,SIBUTI,31868,22697,96.96,2.85,0.18,0.01,1.37,P.218,SIBUTI,58522,34371,98.67,1.24,0.09,0.01,1.90,340
SARAWAK,P.219,MIRI,80386,58439,98.75,0.00,1.24,0.01,1.36,P.219,MIRI,143229,78996,99.27,0.00,0.73,0.01,2.24,978
SARAWAK,P.220,BARAM,35685,22806,99.75,0.00,0.25,0.00,0.94,P.220,BARAM,59535,30218,99.87,0.00,0.13,0.00,1.92,366
SARAWAK,P.221,LIMBANG,26409,17802,98.57,0.00,1.42,0.01,2.83,P.221,LIMBANG,41999,20130,99.14,0.00,0.86,0.00,3.57,215
SARAWAK,P.222,LAWAS,21297,14550,99.44,0.00,0.56,0.00,2.04,P.222,LAWAS,33655,18495,99.70,0.00,0.30,0.00,2.47,159
