State,Parliament Code,Parliament,GE13 Voters,2015 Q3 Voters,2016 Q1 Voters,2017 Q4 Voters
PERLIS,P.001,PADANG BESAR,41974,42241,42338,46207
PERLIS,P.002,KANGAR,51207,51241,50909,55643
PERLIS,P.003,ARAU,43876,43617,44094,48740
KEDAH,P.004,LANGKAWI,37536,37656,37632,42793
KEDAH,P.005,JERLUN,52383,51788,51681,54276
KEDAH,P.006,KUBANG PASU,65550,65865,66141,74047
KEDAH,P.007,PADANG TERAP,41960,42448,43022,46721
KEDAH,P.008,POKOK SENA,80714,80366,80502,88406
KEDAH,P.009,ALOR STAR,69009,68656,68742,74954
KEDAH,P.010,KUALA KEDAH,95328,95126,95137,102118
KEDAH,P.011,PENDANG,70135,70585,70820,75037
KEDAH,P.012,JERAI,74410,74284,74176,80151
KEDAH,P.013,SIK,46786,46922,47047,50488
KEDAH,P.014,MERBOK,85908,86464,86926,97158
KEDAH,P.015,SUNGAI PETANI,93176,93247,93946,103637
KEDAH,P.016,BALING,93168,94156,95349,107469
KEDAH,P.017,PADANG SERAI,74095,74499,74776,84997
KEDAH,P.018,KULIM-BANDAR BAHARU,60910,60726,60481,66745
KELANTAN,P.019,TUMPAT,98632,100678,102372,111133
KELANTAN,P.020,PENGKALAN CHEPA,64409,66378,66834,74484
KELANTAN,P.021,KOTA BHARU,81268,82431,82582,88902
KELANTAN,P.022,PASIR MAS,71965,72500,73098,79053
KELANTAN,P.023,RANTAU PANJANG,52903,53599,54262,58781
KELANTAN,P.024,KUBANG KERIAN,65390,65885,66991,75690
KELANTAN,P.025,BACHOK,81566,82699,83206,92791
KELANTAN,P.026,KETEREH,62217,63390,64426,72889
KELANTAN,P.027,TANAH MERAH,58237,59027,61010,71291
KELANTAN,P.028,PASIR PUTEH,76259,77677,78747,85584
KELANTAN,P.029,MACHANG,59226,60030,61323,68543
KELANTAN,P.030,JELI,43224,43866,44564,48683
KELANTAN,P.031,KUALA KRAI,63101,64510,65289,70529
KELANTAN,P.032,GUA MUSANG,40176,41621,42323,52614
TERENGGANU,P.033,BESUT,72566,76356,77266,86791
TERENGGANU,P.034,SETIU,67280,70954,71292,78179
TERENGGANU,P.035,KUALA NERUS,76238,81067,82497,92005
TERENGGANU,P.036,KUALA TERENGGANU,94406,96013,96965,103792
TERENGGANU,P.037,MARANG,90795,95535,96708,105079
TERENGGANU,P.038,HULU TERENGGANU,63543,67026,68650,73622
TERENGGANU,P.039,DUNGUN,78174,82251,83283,90685
TERENGGANU,P.040,KEMAMAN,91942,97925,99432,107787
PULAU PINANG,P.041,KEPALA BATAS,51635,52843,53723,60641
PULAU PINANG,P.042,TASEK GELUGOR,54042,54804,55282,60983
PULAU PINANG,P.043,BAGAN,68503,69206,69371,71739
PULAU PINANG,P.044,PERMATANG PAUH,71699,73977,74545,81961
PULAU PINANG,P.045,BUKIT MERTAJAM,78996,80809,81294,89160
PULAU PINANG,P.046,BATU KAWAN,57500,58878,59322,65538
PULAU PINANG,P.047,NIBONG TEBAL,59345,61282,62162,73520
PULAU PINANG,P.048,BUKIT BENDERA,71085,71632,71772,75272
PULAU PINANG,P.049,TANJONG,51487,50507,50136,49737
PULAU PINANG,P.050,JELUTONG,71247,72551,72837,77195
PULAU PINANG,P.051,BUKIT GELUGOR,81897,84435,85053,91780
PULAU PINANG,P.052,BAYAN BARU,79155,82251,83594,91017
PULAU PINANG,P.053,BALIK PULAU,49641,51046,52337,59136
PERAK,P.054,GERIK,32725,33698,33982,35976
PERAK,P.055,LENGGONG,27950,28012,28148,29835
PERAK,P.056,LARUT,46577,46189,46242,49605
PERAK,P.057,PARIT BUNTAR,51422,50189,50020,53001
PERAK,P.058,BAGAN SERAI,54792,54431,54719,58458
PERAK,P.059,BUKIT GANTANG,71257,71570,72317,78951
PERAK,P.060,TAIPING,78148,77627,77376,82029
PERAK,P.061,PADANG RENGAS,28518,28426,28830,31075
PERAK,P.062,SUNGAI SIPUT,51596,51340,51607,55119
PERAK,P.063,TAMBUN,89435,92428,92356,104015
PERAK,P.064,IPOH TIMOR,81818,80465,80280,80233
PERAK,P.065,IPOH BARAT,77761,77400,78043,81005
PERAK,P.066,BATU GAJAH,87587,87400,83883,87955
PERAK,P.067,KUALA KANGSAR,33540,33307,33066,37039
PERAK,P.068,BERUAS,49205,48555,48435,50560
PERAK,P.069,PARIT,33503,33452,33485,36008
PERAK,P.070,KAMPAR,63619,62558,63419,66399
PERAK,P.071,GOPENG,97092,98799,101225,112454
PERAK,P.072,TAPAH,45485,45246,46233,50494
PERAK,P.073,PASIR SALAK,51498,51110,51243,55013
PERAK,P.074,LUMUT,88300,89721,90308,96729
PERAK,P.075,BAGAN DATOK,39924,39781,39426,47215
PERAK,P.076,TELOK INTAN,60483,61092,61086,66631
PERAK,P.077,TANJONG MALIM,64499,64306,63990,68634
PAHANG,P.078,CAMERON HIGHLANDS,27980,27949,27941,32105
PAHANG,P.079,LIPIS,32324,32126,32222,35383
PAHANG,P.080,RAUB,54214,53686,53748,57885
PAHANG,P.081,JERANTUT,58364,57737,57713,63746
PAHANG,P.082,INDERA MAHKOTA,64219,65589,66813,77321
PAHANG,P.083,KUANTAN,56280,56799,56145,62831
PAHANG,P.084,PAYA BESAR,48067,48808,49176,55231
PAHANG,P.085,PEKAN,80260,81457,82303,89076
PAHANG,P.086,MARAN,38436,38015,37931,41135
PAHANG,P.087,KUALA KRAU,43003,42858,43026,47363
PAHANG,P.088,TEMERLOH,66105,66852,66986,75261
PAHANG,P.089,BENTONG,62266,61846,62460,67514
PAHANG,P.090,BERA,50997,50811,51293,58748
PAHANG,P.091,ROMPIN,53596,54696,54973,62037
SELANGOR,P.092,SABAK BERNAM,37318,37102,37293,40955
SELANGOR,P.093,SUNGAI BESAR,42837,42830,42828,48853
SELANGOR,P.094,HULU SELANGOR,85697,86346,86966,101167
SELANGOR,P.095,TANJONG KARANG,42333,42606,42620,47211
SELANGOR,P.096,KUALA SELANGOR,62298,63289,63920,75112
SELANGOR,P.097,SELAYANG,105895,107430,108276,132118
SELANGOR,P.098,GOMBAK,123290,124600,124823,141991
SELANGOR,P.099,AMPANG,83135,83093,83200,95101
SELANGOR,P.100,PANDAN,83857,84935,85090,97568
SELANGOR,P.101,HULU LANGAT,127347,130297,129527,155385
SELANGOR,P.102,SERDANG,133139,136892,139604,169748
SELANGOR,P.103,PUCHONG,107010,109201,110187,129520
SELANGOR,P.104,KELANA JAYA,101236,101932,101590,111285
SELANGOR,P.105,PETALING JAYA SELATAN,79558,78793,78373,84936
SELANGOR,P.106,PETALING JAYA UTARA,85401,84406,84284,87037
SELANGOR,P.107,SUBANG,128543,131182,130211,155791
SELANGOR,P.108,SHAH ALAM,99957,102150,104289,123318
SELANGOR,P.109,KAPAR,144159,146118,146625,169989
SELANGOR,P.110,KLANG,97073,98127,98263,110098
SELANGOR,P.111,KOTA RAJA,105909,110024,110526,134188
SELANGOR,P.112,KUALA LANGAT,88474,88984,89077,102583
SELANGOR,P.113,SEPANG,84362,85195,85853,104657
W.P KUALA LUMPUR,P.114,KEPONG,68035,67158,67956,70314
W.P KUALA LUMPUR,P.115,BATU,85402,85547,85092,88391
W.P KUALA LUMPUR,P.116,WANGSA MAJU,67775,67584,67188,80909
W.P KUALA LUMPUR,P.117,SEGAMBUT,75631,75761,75440,82953
W.P KUALA LUMPUR,P.118,SETIAWANGSA,62309,62637,62812,73469
W.P KUALA LUMPUR,P.119,TITIWANGSA,55282,55578,55899,61725
W.P KUALA LUMPUR,P.120,BUKIT BINTANG,55721,54027,52753,49157
W.P KUALA LUMPUR,P.121,LEMBAH PANTAI,72396,72538,72675,79908
W.P KUALA LUMPUR,P.122,SEPUTEH,85976,85445,85172,88609
W.P KUALA LUMPUR,P.123,CHERAS,72551,71345,71272,72261
W.P KUALA LUMPUR,P.124,BANDAR TUN RAZAK,90993,91286,91379,101694
W.P PUTRAJAYA,P.125,PUTRAJAYA,15791,17332,17925,27314
NEGERI SEMBILAN,P.126,JELEBU,44937,45831,45797,48634
NEGERI SEMBILAN,P.127,JEMPOL,65213,66318,66386,72264
NEGERI SEMBILAN,P.128,SEREMBAN,102305,102128,103795,114752
NEGERI SEMBILAN,P.129,KUALA PILAH,47671,46915,46759,49941
NEGERI SEMBILAN,P.130,RASAH,88403,89006,89496,99040
NEGERI SEMBILAN,P.131,REMBAU,79661,80830,79154,88548
NEGERI SEMBILAN,P.132,TELOK KEMANG,70524,69627,69338,75381
NEGERI SEMBILAN,P.133,TAMPIN,57268,57049,56880,61026
MELAKA,P.134,MASJID TANAH,45952,47786,48124,51557
MELAKA,P.135,ALOR GAJAH,63591,65628,65956,70540
MELAKA,P.136,TANGGA BATU,73282,77930,78264,86784
MELAKA,P.137,BUKIT KATIL,99438,103322,105163,115449
MELAKA,P.138,KOTA MELAKA,92322,93694,94066,97725
MELAKA,P.139,JASIN,64455,67162,68004,73590
JOHOR,P.140,SEGAMAT,47009,46851,48718,54560
JOHOR,P.141,SEKIJANG,43066,43756,41938,45679
JOHOR,P.142,LABIS,37714,37580,37448,40456
JOHOR,P.143,PAGOH,46793,47285,46968,50551
JOHOR,P.144,LEDANG,69316,70109,70678,77630
JOHOR,P.145,BAKRI,67202,67609,68838,72999
JOHOR,P.146,MUAR,48208,48305,48491,53022
JOHOR,P.147,PARIT SULONG,56896,56701,56808,60158
JOHOR,P.148,AYER HITAM,42913,43243,43398,46798
JOHOR,P.149,SRI GADING,44816,45158,46442,51524
JOHOR,P.150,BATU PAHAT,88272,89853,90401,98694
JOHOR,P.151,SIMPANG RENGGAM,40143,40594,40588,43872
JOHOR,P.152,KLUANG,86732,88487,89470,97116
JOHOR,P.153,SEMBRONG,41588,41651,41677,44219
JOHOR,P.154,MERSING,44497,44879,45411,48285
JOHOR,P.155,TENGGARA,39694,41109,40849,44816
JOHOR,P.156,KOTA TINGGI,41894,42585,42962,46789
JOHOR,P.157,PENGERANG,37999,38446,38281,40574
JOHOR,P.158,TEBRAU,90482,97294,101916,123368
JOHOR,P.159,PASIR GUDANG,101041,107900,108896,124176
JOHOR,P.160,JOHOR BAHRU,96321,96869,96923,99984
JOHOR,P.161,PULAI,100490,104045,104761,116080
JOHOR,P.162,GELANG PATAH,106726,114285,115227,132888
JOHOR,P.163,KULAI,83991,85909,87218,97027
JOHOR,P.164,PONTIAN,49633,49375,48799,51714
JOHOR,P.165,TANJONG PIAI,51875,52580,53991,57638
W.P LABUAN,P.166,LABUAN,24474,25117,25087,28403
SABAH,P.167,KUDAT,47249,47347,47444,52340
SABAH,P.168,KOTA MARUDU,42197,42496,42553,47059
SABAH,P.169,KOTA BELUD,51467,51782,51851,58017
SABAH,P.170,TUARAN,48276,48853,49140,54494
SABAH,P.171,SEPANGGAR,53374,54701,55518,62489
SABAH,P.172,KOTA KINABALU,50516,50191,49826,56307
SABAH,P.173,PUTATAN,37490,37833,38284,41407
SABAH,P.174,PENAMPANG,44323,45023,45179,53162
SABAH,P.175,PAPAR,38771,39168,39199,43658
SABAH,P.176,KIMANIS,26628,26901,26958,29664
SABAH,P.177,BEAUFORT,30097,30160,30218,33387
SABAH,P.178,SIPITANG,29177,29455,29470,31942
SABAH,P.179,RANAU,39053,39482,39485,43769
SABAH,P.180,KENINGAU,43691,44392,44284,51254
SABAH,P.181,TENOM,25304,25341,25340,29238
SABAH,P.182,PENSIANGAN,26194,26747,27058,31411
SABAH,P.183,BELURAN,24688,24955,24938,28545
SABAH,P.184,LIBARAN,39772,41261,41963,47983
SABAH,P.185,BATU SAPI,30199,30411,30389,32644
SABAH,P.186,SANDAKAN,37058,37807,37778,39833
SABAH,P.187,KINABATANGAN,24748,25340,25315,28768
SABAH,P.188,SILAM,51662,52388,52438,61014
SABAH,P.189,SEMPORNA,41549,42389,42570,48349
SABAH,P.190,TAWAU,51538,52611,55232,60006
SABAH,P.191,KALABAKAN,46793,48530,46195,52269
SARAWAK,P.192,MAS GADING,25771,26709,26926,29671
SARAWAK,P.193,SANTUBONG,37017,41436,42342,45722
SARAWAK,P.194,PETRA JAYA,49750,52147,53607,58009
SARAWAK,P.195,BANDAR KUCHING,53336,53012,81037,82022
SARAWAK,P.196,STAMPIN,84732,88396,60624,66342
SARAWAK,P.197,KOTA SAMARAHAN,38158,41726,42357,46378
SARAWAK,P.198,MAMBONG (PUNCAK BORNEO),42344,43213,43243,46285
SARAWAK,P.199,SERIAN,33713,35093,35422,37723
SARAWAK,P.200,BATANG SADONG,19839,20856,21693,23259
SARAWAK,P.201,BATANG LUPAR,27360,28887,28642,29882
SARAWAK,P.202,SRI AMAN,29789,30785,31147,33099
SARAWAK,P.203,LUBOK ANTU,19303,20111,20362,20859
SARAWAK,P.204,BETONG,26322,27878,28072,29208
SARAWAK,P.205,SARATOK,27562,28465,28843,30582
SARAWAK,P.206,TANJONG MANIS,19215,19978,20190,21947
SARAWAK,P.207,IGAN,17771,18254,18334,19639
SARAWAK,P.208,SARIKEI,36550,37184,37454,39642
SARAWAK,P.209,JULAU,22522,23361,23577,25429
SARAWAK,P.210,KANOWIT,19433,19928,20052,21065
SARAWAK,P.211,LANANG,57143,57935,57708,62080
SARAWAK,P.212,SIBU,64601,67717,69822,74034
SARAWAK,P.213,MUKAH,26477,28232,28714,30683
SARAWAK,P.214,SELANGAU,25461,27039,28271,30103
SARAWAK,P.215,KAPIT,26195,26929,28719,31008
SARAWAK,P.216,HULU RAJANG,21686,23061,25316,27568
SARAWAK,P.217,BINTULU,59893,63246,60056,65149
SARAWAK,P.218,SIBUTI,28351,29622,29974,31926
SARAWAK,P.219,MIRI,71170,74841,75527,80524
SARAWAK,P.220,BARAM,29385,31365,34096,35769
SARAWAK,P.221,LIMBANG,24278,25165,25199,26469
SARAWAK,P.222,LAWAS,18845,20375,19896,21336
